GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
micro-websocket,net.aikaka.javaboilerplates.microwebsocket,MicroWebsocketApplication,5,3,0,0,2,1,1,1,1,1
micro-websocket,net.aikaka.javaboilerplates.microwebsocket,ServletInitializer,12,0,0,0,2,0,2,0,2,0
micro-websocket,net.aikaka.javaboilerplates.microwebsocket.dao,SampleMessage,0,10,0,0,0,4,0,3,0,3
micro-websocket,net.aikaka.javaboilerplates.microwebsocket.api,GetSamplesApi,10,6,0,0,2,3,2,1,2,1
micro-websocket,net.aikaka.javaboilerplates.microwebsocket.config,WebSocketConfig,0,31,0,0,0,11,0,9,0,9
micro-websocket,net.aikaka.javaboilerplates.microwebsocket.config,WebConfig,0,7,0,0,0,2,0,2,0,2
